"timeStamp","sixtyKTemp","threeKTemp","baseTemp"
1450086525,48.06,2.9548,2.84
1450086520,48.058,2.9606,2.84
1450086515,48.058,2.9619,2.85
1450086510,48.056,2.9541,2.8
1450086505,48.056,2.9598,2.81
1450086499,48.056,2.9638,2.85
1450086494,48.057,2.9562,2.81
1450086489,48.057,2.9573,2.81
1450086484,48.056,2.9642,2.84
1450086479,48.056,2.961,2.82
1450086474,48.056,2.9552,2.83
1450086468,48.056,2.9607,2.81
1450086463,48.056,2.9625,2.8
1450086458,48.055,2.9555,2.83
1450086453,48.054,2.9577,2.8
1450086448,48.054,2.9631,2.79
1450086443,48.054,2.9584,2.83
1450086438,48.053,2.9569,2.81
1450086432,48.054,2.9637,2.84
1450086427,48.054,2.9609,2.83
1450086422,48.053,2.9559,2.84
1450086417,48.052,2.9627,2.83
1450086412,48.051,2.9614,2.82
1450086407,48.05,2.9553,2.81
1450086401,48.049,2.9612,2.82
1450086396,48.048,2.9639,2.83
1450086391,48.047,2.9567,2.86
1450086386,48.047,2.9627,2.79
1450086381,48.048,2.9652,2.83
1450086376,48.047,2.959,2.83
1450086370,48.046,2.9606,2.85
1450086365,48.047,2.9658,2.83
1450086360,48.046,2.961,2.81
1450086355,48.046,2.958,2.81
1450086350,48.047,2.9636,2.81
1450086345,48.047,2.9622,2.81
1450086339,48.046,2.9561,2.8
1450086334,48.047,2.9616,2.78
1450086329,48.047,2.9643,2.82
1450086324,48.046,2.9564,2.83
1450086319,48.045,2.9585,2.82
1450086314,48.045,2.964,2.81
1450086309,48.044,2.9588,2.83
1450086303,48.043,2.9573,2.84
1450086298,48.042,2.963,2.82
1450086293,48.041,2.9615,2.83
1450086288,48.04,2.9557,2.8
1450086283,48.038,2.9613,2.84
1450086278,48.038,2.9648,2.82
1450086272,48.037,2.9575,2.82
1450086267,48.037,2.9583,2.87
1450086262,48.036,2.9655,2.83
1450086257,48.036,2.9626,2.86
1450086252,48.035,2.9569,2.83
1450086247,48.034,2.9639,2.83
1450086242,48.032,2.964,2.82
1450086236,48.031,2.9562,2.81
1450086231,48.03,2.9609,2.84
1450086226,48.03,2.9664,2.81
1450086221,48.03,2.9598,2.82
1450086216,48.029,2.9606,2.85
1450086211,48.03,2.9672,2.82
1450086205,48.031,2.9641,2.83
1450086200,48.033,2.9599,2.86
1450086195,48.033,2.9666,2.81
1450086190,48.034,2.962,2.86
1450086185,48.034,2.9591,2.86
1450086180,48.035,2.9645,2.82
1450086174,48.035,2.964,2.82
1450086169,48.036,2.9576,2.82
1450086164,48.036,2.9644,2.84
1450086159,48.036,2.9646,2.85
1450086154,48.036,2.9578,2.82
1450086149,48.036,2.9643,2.84
1450086143,48.035,2.9645,2.83
1450086138,48.035,2.9575,2.85
1450086133,48.035,2.9622,2.82
1450086128,48.035,2.9666,2.85
1450086123,48.034,2.9585,2.82
1450086118,48.033,2.9604,2.84
1450086112,48.033,2.9667,2.83
1450086107,48.033,2.9634,2.85
1450086102,48.033,2.9593,2.82
1450086097,48.032,2.9658,2.84
1450086092,48.032,2.9659,2.83
1450086087,48.031,2.9595,2.81
1450086081,48.031,2.9637,2.83
1450086076,48.032,2.9673,2.82
1450086071,48.031,2.9597,2.82
1450086066,48.031,2.961,2.82
1450086061,48.031,2.9675,2.84
1450086056,48.03,2.9637,2.83
1450086051,48.03,2.9599,2.83
1450086045,48.028,2.9661,2.83
1450086040,48.028,2.9666,2.83
1450086035,48.028,2.9602,2.84
1450086030,48.027,2.9646,2.84
1450086025,48.027,2.9681,2.86
1450086020,48.026,2.9601,2.85
1450086014,48.025,2.9642,2.84
1450086009,48.024,2.9684,2.86
1450086004,48.025,2.9608,2.85
1450085999,48.025,2.9639,2.84
1450085994,48.026,2.9691,2.86
1450085989,48.027,2.9616,2.84
1450085983,48.028,2.9644,2.84
1450085978,48.028,2.9685,2.84
1450085973,48.029,2.96,2.83
1450085968,48.03,2.9673,2.8
1450085963,48.03,2.965,2.85
1450085957,48.031,2.9605,2.85
1450085952,48.031,2.9677,2.85
1450085947,48.031,2.9616,2.85
1450085942,48.031,2.962,2.86
1450085937,48.032,2.9669,2.84
1450085931,48.032,2.9601,2.84
1450085926,48.032,2.9617,2.85
1450085921,48.032,2.9678,2.86
1450085916,48.03,2.9613,2.84
1450085911,48.031,2.9633,2.83
1450085905,48.032,2.9678,2.86
1450085900,48.031,2.9605,2.83
1450085895,48.031,2.9634,2.82
1450085890,48.029,2.9682,2.84
1450085885,48.03,2.9594,2.85
1450085880,48.028,2.9646,2.83
1450085874,48.027,2.9681,2.83
1450085869,48.025,2.9615,2.84
1450085864,48.025,2.9634,2.86
1450085859,48.024,2.9695,2.82
1450085854,48.023,2.9621,2.81
1450085848,48.022,2.9663,2.86
1450085843,48.02,2.9709,2.86
1450085838,48.018,2.9632,2.82
1450085833,48.018,2.9672,2.82
1450085828,48.017,2.9712,2.84
1450085823,48.014,2.9639,2.85
1450085817,48.015,2.9695,2.84
1450085812,48.014,2.9724,2.84
1450085807,48.014,2.9646,2.85
1450085802,48.014,2.9698,2.85
1450085797,48.015,2.973,2.84
1450085791,48.015,2.9653,2.84
1450085786,48.016,2.9693,2.83
1450085781,48.017,2.9726,2.86
1450085776,48.017,2.9643,2.84
1450085771,48.017,2.97,2.83
1450085766,48.017,2.9709,2.85
1450085760,48.017,2.963,2.87
1450085755,48.016,2.9684,2.83
1450085750,48.015,2.9705,2.84
1450085745,48.014,2.9628,2.82
1450085740,48.013,2.9682,2.84
1450085734,48.012,2.9699,2.85
1450085729,48.012,2.9636,2.86
1450085724,48.012,2.9702,2.86
1450085719,48.012,2.9711,2.84
1450085714,48.013,2.9638,2.86
1450085709,48.013,2.97,2.86
1450085703,48.012,2.9713,2.85
1450085698,48.012,2.9639,2.83
1450085693,48.012,2.9708,2.86
1450085688,48.012,2.9714,2.87
1450085683,48.012,2.963,2.83
1450085677,48.011,2.9697,2.85
1450085672,48.012,2.9695,2.86
1450085667,48.011,2.9624,2.83
1450085662,48.012,2.9702,2.83
1450085657,48.012,2.9667,2.85
1450085651,48.012,2.9633,2.83
1450085646,48.012,2.9698,2.86
1450085641,48.013,2.9626,2.89
1450085636,48.013,2.9642,2.87
1450085631,48.013,2.969,2.87
1450085625,48.013,2.9602,2.86
1450085620,48.013,2.9656,2.85
1450085615,48.013,2.9663,2.88
1450085610,48.015,2.959,2.85
1450085605,48.014,2.9658,2.87
1450085600,48.014,2.9645,2.85
1450085594,48.014,2.9584,2.84
1450085589,48.014,2.9655,2.85
1450085584,48.014,2.9649,2.84
1450085579,48.014,2.9589,2.9
1450085574,48.012,2.9658,2.87
1450085568,48.011,2.9637,2.86
1450085563,48.009,2.9595,2.84
1450085558,48.008,2.9668,2.85
1450085553,48.005,2.9653,2.85
1450085548,48.004,2.9605,2.85
1450085543,48.002,2.9681,2.87
1450085537,48.001,2.9679,2.88
1450085532,48.002,2.9621,2.85
1450085527,48.002,2.9676,2.84
1450085522,48.002,2.9694,2.85
1450085517,48.002,2.9629,2.86
1450085511,48.003,2.9695,2.86
1450085506,48.003,2.9682,2.84
1450085501,48.003,2.9636,2.85
1450085496,48.004,2.971,2.85
1450085491,48.003,2.9688,2.87
1450085486,48.003,2.9634,2.86
1450085480,48.003,2.9716,2.86
1450085475,48.003,2.9654,2.87
1450085470,48.003,2.966,2.88
1450085465,48.002,2.972,2.86
1450085460,48.003,2.9639,2.86
1450085454,48.003,2.9674,2.87
1450085449,48.003,2.9721,2.87
1450085444,48.003,2.9646,2.83
1450085439,48.003,2.9676,2.85
1450085434,48.003,2.9723,2.88
1450085428,48.003,2.9641,2.89
1450085423,48.002,2.9692,2.86
1450085418,48.002,2.9729,2.83
1450085413,48.001,2.9656,2.87
1450085408,48.001,2.9685,2.89
1450085403,48.001,2.9748,2.88
1450085397,48.001,2.9673,2.86
1450085392,48.001,2.9722,2.91
1450085387,47.999,2.9737,2.85
1450085382,47.999,2.9658,2.88
1450085377,47.998,2.971,2.88
1450085371,47.997,2.9735,2.85
1450085366,47.997,2.966,2.91
1450085361,47.997,2.9732,2.89
1450085356,47.998,2.9738,2.86
1450085351,47.998,2.9661,2.87
1450085345,47.997,2.9723,2.85
1450085340,47.997,2.9716,2.88
1450085335,47.997,2.9663,2.89
1450085330,47.997,2.9731,2.89
1450085325,47.996,2.9724,2.88
1450085320,47.996,2.9668,2.86
1450085314,47.996,2.974,2.86
1450085309,47.995,2.9692,2.91
1450085304,47.996,2.968,2.89
1450085299,47.995,2.9752,2.9
1450085294,47.993,2.9703,2.9
1450085288,47.992,2.97,2.9
1450085283,47.99,2.9759,2.91
1450085278,47.989,2.9683,2.87
1450085273,47.988,2.9719,2.9
1450085268,47.986,2.9771,2.91
1450085262,47.985,2.9698,2.89
1450085257,47.985,2.9726,2.89
1450085252,47.982,2.9782,2.9
1450085247,47.982,2.9704,2.89
1450085242,47.981,2.9769,2.88
1450085236,47.981,2.978,2.87
1450085231,47.98,2.9709,2.9
1450085226,47.981,2.9786,2.88
1450085221,47.981,2.9773,2.89
1450085216,47.981,2.9712,2.9
1450085211,47.98,2.9765,2.89
1450085205,47.982,2.9773,2.88
1450085200,47.983,2.9718,2.89
1450085195,47.984,2.9799,2.9
1450085190,47.985,2.9764,2.88
1450085185,47.985,2.9721,2.89
1450085179,47.987,2.9802,2.91
1450085174,47.988,2.9744,2.88
1450085169,47.989,2.972,2.88
1450085164,47.988,2.9783,2.89
1450085159,47.988,2.973,2.9
1450085153,47.989,2.9703,2.93
1450085148,47.988,2.9774,2.89
1450085143,47.987,2.9706,2.91
1450085138,47.986,2.9706,2.89
1450085133,47.985,2.9767,2.94
1450085128,47.984,2.9707,2.89
1450085122,47.984,2.9721,2.9
1450085117,47.983,2.9774,2.91
1450085112,47.983,2.9702,2.89
1450085107,47.982,2.9722,2.93
1450085102,47.982,2.9767,2.94
1450085096,47.982,2.9693,2.92
1450085091,47.982,2.9738,2.94
1450085086,47.982,2.9774,2.9
1450085081,47.982,2.9684,2.93
1450085076,47.982,2.9747,2.91
1450085070,47.983,2.9767,2.89
1450085065,47.983,2.9685,2.91
1450085060,47.982,2.9735,2.91
1450085055,47.983,2.9755,2.91
1450085050,47.982,2.9676,2.92
1450085045,47.983,2.9747,2.92
1450085039,47.983,2.9709,2.93
1450085034,47.983,2.9691,2.91
1450085029,47.983,2.9753,2.94
1450085024,47.984,2.9698,2.94
1450085019,47.985,2.97,2.92
1450085013,47.985,2.9759,2.94
1450085008,47.986,2.9686,2.92
1450085003,47.987,2.9716,2.93
1450084998,47.988,2.9752,2.91
1450084993,47.988,2.9668,2.92
1450084987,47.988,2.9722,2.92
1450084982,47.99,2.9733,2.91
